route_id,route_short_name,route_long_name,route_type,route_color,trip_count,unique_shape_count,direction_count,unique_stop_count,service_id_count,representative_shape_ids,representative_length_km
6720,394,White Rock Centre/King George Station,3,,30,2,2,44,3,318073|318074,21.233
6721,395,Langley Centre/King George Station,3,,20,2,2,80,1,318075|318076,21.027
6722,401,Brighouse Station/One Road,3,,374,3,2,65,5,318077|318078,9.468
6723,402,Brighouse Station/Two Road,3,,250,3,2,71,3,318080|318082,9.474
6724,403,Bridgeport Station/Three Road,3,,379,6,2,84,3,318084|318088,13.279
6725,404,Brighouse Station/Four Road,3,,217,7,2,55,4,318093|318096,9.47
6726,405,Five Road/Cambie,3,,183,10,2,104,3,318098|318106,19.161
6727,407,Gilbert/Bridgeport,3,,229,11,2,138,5,318112|318119,19.904
6728,410,Brighouse Station/22nd St Station,3,,516,7,2,97,5,318137|318139,21.852
6730,430,Metrotown Station/Brighouse Station,3,,326,2,2,47,5,318164|318165,18.814
6737,501,Langley Centre/Surrey Central Station,3,,307,4,2,92,5,318170|318172,27.011
6738,502,Fraser Hwy,3,,484,3,2,65,3,318174|318177,18.579
6739,509,Walnut Grove/Surrey Central Station,3,,26,7,2,107,3,318192|318196,24.876
6741,601,Bridgeport Station/South Delta,3,,343,12,2,108,4,318226|318235,30.181
6742,602,Bridgeport Station/Tsawwassen Heights,3,,18,2,2,45,1,318239|318240,26.107
6743,603,Bridgeport Station/Beach Grove,3,,26,5,2,46,1,318242|318245,6.128
6744,604,Bridgeport Station/English Bluff,3,,24,4,2,47,1,318247|318248,6.131
6745,606,Ladner Ring,3,,12,2,2,35,2,318250|318251,5.477
6746,608,Ladner Ring,3,,12,2,2,33,1,318252|318253,4.87
6747,620,Tsawwassen Ferry/Bridgeport Station Exp,3,,265,2,2,12,5,318266|318267,27.827
6748,640,River Road,3,,330,13,2,79,3,318273|318280,25.022
6749,701,Coquitlam Central Station/Haney Place/Maple Ridge E,3,,421,10,2,117,7,318283|318289,24.646
6754,855,Elgin Park School Special,3,,2,2,2,96,1,318347|318348,18.459
6761,880,Windsor School Special,3,,1,1,1,7,1,318356,3.627
6762,881,Carson Graham School Special,3,,2,2,2,25,1,318357|318358,5.316
6770,WCE,West Coast Express,2,87189d,14,2,2,21,3,318416|318417,67.905
6771,,SeaBus,4,746661,484,2,2,4,8,318418|318419,3.197
6776,131,Hastings @ Gilmore/Kootenay Loop,3,,104,2,2,33,3,317603|317604,4.486
6777,280,Bluewater/Snug Cove,3,,44,4,2,17,3,317891|317893,12.505
6778,281,Eagle Cliff/Snug Cove,3,,44,2,2,11,3,317895|317897,5.619
6779,262,Lions Bay/Caulfeild,3,,112,2,2,21,3,317887|317890,19.583
6780,215,Indian River/Phibbs Exchange,3,,198,3,2,38,3,317765|317767,6.904
6790,103,New West Station/Quayside,3,,404,2,2,9,3,317545|317546,1.426
6796,105,New West Station/Uptown,3,,204,2,2,50,3,317553|317554,6.803
6799,743,Haney Place/Meadowtown,3,,103,4,2,73,3,318309|318311,12.015
6800,744,Haney Place/Meadowtown,3,,102,3,2,69,3,318313|318314,11.449
6804,748,Thornhill/Haney Place,3,,26,5,2,70,2,318329|318332,18.747
6805,749,Ruskin/Haney Place,3,,27,6,2,79,2,318335|318336,20.182
6806,148,Royal Oak Station/Edmonds Station,3,,237,2,2,41,3,317634|317635,6.329
6811,146,Metrotown Station/Suncrest,3,,188,2,2,20,3,317630|317631,3.283
6814,562,Langley Centre/Walnut Grove,3,,184,2,2,82,4,318209|318212,21.772
6815,563,Langley Centre/Fernridge,3,,98,2,2,64,4,318215|318218,12.705
6816,564,Langley Centre/Willowbrook,3,,76,2,2,64,3,318220|318221,11.696
6817,147,Metrotown Station/Edmonds Station,3,,270,2,2,43,5,317632|317633,6.639
6818,371,Surrey Central Station/Scott Rd Station,3,,172,2,2,43,4,318052|318053,8.193
6819,373,Guildford/Surrey Central Station,3,,359,6,2,85,4,318058|318061,13.676
6821,322,Newton Exchange/Scottsdale,3,,397,2,2,78,3,317957|317958,14.68
6822,310,Scottsdale/Ladner,3,,209,5,2,71,3,317903|317906,21.691
6823,616,Ladner South/Ladner Exchange,3,,120,2,2,26,3,318258|318259,3.809
6825,618,Ladner North/Ladner Exchange,3,,116,4,2,55,3,318260|318262,4.269
6827,412,Bridgeport Station/Sea Island South,3,,115,4,2,17,4,318143|318144,6.901
6828,413,Riverport/Steveston,3,,111,6,2,76,7,318146|318152,12.845
6829,416,East Cambie/Brighouse Station,3,,28,2,2,61,1,318157|318158,10.904
6830,N10,Granville-YVR,3,,38,3,2,94,3,318422|318425,24.816
6831,N15,Cambie,3,,18,2,2,53,3,318426|318427,9.726
6833,N17,West Broadway,3,,21,2,2,65,3,318428|318429,11.732
6834,N19,Kingsway,3,,57,3,2,168,4,318430|318432,29.778
6835,N20,Victoria,3,,38,2,2,118,3,318433|318434,16.061
6836,N22,Macdonald,3,,18,2,2,62,3,318435|318436,10.846
6837,N24,Downtown/Lynn Valley,3,,49,8,2,102,5,318438|318442,18.416
6838,N35,Hastings St,3,,50,2,2,95,3,318445|318446,17.663
6840,N8,Fraser,3,,36,2,2,97,3,318447|318448,12.594
6841,N9,Broadway-Lougheed,3,,76,3,2,163,3,318450|318451,34.813
6843,614,English Bluff/South Delta Exchange,3,,72,2,2,40,3,318256|318257,6.653
6844,619,South Delta Exchange/Boundary Bay,3,,76,2,2,29,3,318264|318265,5.543
7224,791,Haney Place/Braid Station,3,,89,4,2,85,3,318342|318344,27.413
7321,375,152 Street,3,,231,2,2,109,3,318062|318063,22.779
7322,132,Capitol Hill/Hastings @ Gilmore,3,,104,2,2,28,3,317605|317606,3.654
7509,150,Coquitlam Central Station/White Pine Beach,3,,182,2,2,43,3,317636|317637,11.181
8286,370,Cloverdale/Willowbrook,3,,94,2,2,58,3,318048|318050,10.961
8289,865,Samuel Robertson School Special,3,,2,1,1,20,1,318354,7.424
8290,341,Guildford/Newton Exchange,3,,216,6,2,78,4,318009|318013,10.594
9745,418,Kingswood/22nd St Station,3,,61,5,2,32,3,318160|318162,13.516
HD,HD,HandyDART,715,,1,1,1,0,1,,
